Normal Costs,CUDA Costs,CUDA Cost Diff,Normal Removal,CUDA Removal,Memmove Removal,CUDA Removal Diff,Memmove Removal Diff
45,10,35,12,42,3,30,+AC0-9
46,11,35,18,62,3,44,+AC0-15
46,11,35,14,49,2,35,+AC0-12
46,10,36,30,102,3,72,+AC0-27
45,11,34,21,72,3,51,+AC0-18
47,11,36,2,5,1,3,+AC0-1
47,10,37,40,131,4,91,+AC0-36
45,11,34,7,27,2,20,+AC0-5
45,11,34,34,114,3,80,+AC0-31
45,10,35,43,139,4,96,+AC0-39
46,10,36,12,42,2,30,+AC0-10
46,11,35,24,81,2,57,+AC0-22
48,10,38,29,97,4,68,+AC0-25
45,11,34,3,13,2,10,+AC0-1
45,11,34,31,107,3,76,+AC0-28
45,10,35,24,83,2,59,+AC0-22
45,11,34,16,55,3,39,+AC0-13
46,11,35,33,111,3,78,+AC0-30
46,10,36,10,35,3,25,+AC0-7
46,11,35,3,8,2,5,+AC0-1
49,11,38,27,89,3,62,+AC0-24
48,10,38,37,124,4,87,+AC0-33
44,11,33,8,29,2,21,+AC0-6
45,11,34,44,147,4,103,+AC0-40
45,10,35,30,97,3,67,+AC0-27
45,11,34,13,45,3,32,+AC0-10
46,11,35,17,57,2,40,+AC0-15
46,10,36,43,139,3,96,+AC0-40
46,10,36,23,76,3,53,+AC0-20
44,11,33,32,107,3,75,+AC0-29
45,11,34,12,42,2,30,+AC0-10
45,11,34,39,130,4,91,+AC0-35
45,11,34,13,46,2,33,+AC0-11
46,11,35,37,113,3,76,+AC0-34
46,10,36,8,28,3,20,+AC0-5
44,11,33,26,87,3,61,+AC0-23
44,11,33,4,10,2,6,+AC0-2
44,11,33,30,98,3,68,+AC0-27
45,10,35,16,55,3,39,+AC0-13
45,10,35,10,36,2,26,+AC0-8
45,10,35,16,145,4,129,+AC0-12
44,11,33,24,57,3,33,+AC0-21
46,10,36,13,83,2,70,+AC0-11
46,10,36,37,45,3,8,+AC0-34
46,11,35,31,115,3,84,+AC0-28
45,10,35,44,99,3,55,+AC0-41
45,10,35,15,51,3,36,+AC0-12
44,11,33,28,89,3,61,+AC0-25
45,10,35,40,128,3,88,+AC0-37
45,10,35,16,49,3,33,+AC0-13
51,11,40,2,7,2,5,0
43,10,33,25,85,3,60,+AC0-22
45,10,35,7,28,2,21,+AC0-5
45,11,34,32,106,3,74,+AC0-29
44,11,33,24,80,2,56,+AC0-22
51,10,41,11,36,2,25,+AC0-9
44,11,33,18,59,2,41,+AC0-16
45,10,35,36,116,3,80,+AC0-33
44,10,34,4,14,2,10,+AC0-2
44,11,33,8,29,2,21,+AC0-6
44,11,33,25,85,3,60,+AC0-22
44,10,34,42,139,4,97,+AC0-38
44,11,33,39,125,4,86,+AC0-35
44,11,33,15,49,2,34,+AC0-13
46,11,35,21,70,3,49,+AC0-18
44,10,34,31,102,3,71,+AC0-28
45,11,34,2,39,2,37,0
45,10,35,11,8,1,+AC0-3,+AC0-10
45,11,34,14,142,4,128,+AC0-10
43,11,32,43,50,2,7,+AC0-41
45,10,35,8,29,3,21,+AC0-5
43,11,32,36,9,2,+AC0-27,+AC0-34
48,11,37,28,113,3,85,+AC0-25
44,10,34,2,95,3,93,1
43,11,32,17,58,3,41,+AC0-14
44,11,33,11,34,2,23,+AC0-9
44,10,34,31,103,4,72,+AC0-27
44,10,34,39,126,4,87,+AC0-35
47,11,36,28,92,3,64,+AC0-25
43,10,33,18,61,3,43,+AC0-15
43,11,32,38,127,4,89,+AC0-34
45,11,34,28,96,3,68,+AC0-25
43,10,33,43,50,3,7,+AC0-40
49,11,38,14,28,2,14,+AC0-12
43,11,32,9,7,2,+AC0-2,+AC0-7
42,10,32,24,80,3,56,+AC0-21
44,10,34,2,35,2,33,0
44,11,33,11,141,4,130,+AC0-7
43,10,33,26,84,3,58,+AC0-23
42,10,32,31,103,3,72,+AC0-28
42,11,31,39,130,3,91,+AC0-36
42,10,32,13,40,3,27,+AC0-10
44,11,33,33,112,3,79,+AC0-30
46,11,35,3,6,2,3,+AC0-1
45,10,35,8,26,3,18,+AC0-5
44,11,33,16,54,3,38,+AC0-13
43,11,32,25,87,3,62,+AC0-22
43,11,32,7,26,3,19,+AC0-4
43,10,33,29,101,3,72,+AC0-26
42,11,31,14,46,2,32,+AC0-12
45,11,34,21,66,3,45,+AC0-18
44,10,34,28,91,3,63,+AC0-25
44,11,33,16,51,2,35,+AC0-14
43,11,32,2,12,2,10,0
42,10,32,32,104,3,72,+AC0-29
44,11,33,11,36,2,25,+AC0-9
43,10,33,41,137,3,96,+AC0-38
43,10,33,35,116,4,81,+AC0-31
41,11,30,22,78,3,56,+AC0-19
42,10,32,39,131,3,92,+AC0-36
43,10,33,9,31,2,22,+AC0-7
43,11,32,15,48,2,33,+AC0-13
43,10,33,2,5,1,3,+AC0-1
42,10,32,24,82,3,58,+AC0-21
42,11,31,28,98,3,70,+AC0-25
44,10,34,35,118,3,83,+AC0-32
42,11,31,10,35,3,25,+AC0-7
41,11,30,16,55,2,39,+AC0-14
44,11,33,33,108,3,75,+AC0-30
45,10,35,1,26,2,25,1
44,11,33,8,101,3,93,+AC0-5
44,10,34,30,62,2,32,+AC0-28
42,10,32,18,44,3,26,+AC0-15
43,11,32,12,8,2,+AC0-4,+AC0-10
42,11,31,24,84,3,60,+AC0-21
42,10,32,27,89,3,62,+AC0-24
42,11,31,9,28,2,19,+AC0-7
42,11,31,12,42,2,30,+AC0-10
44,10,34,22,135,4,113,+AC0-18
42,11,31,2,75,3,73,1
41,11,30,40,12,2,+AC0-28,+AC0-38
46,10,36,4,126,4,122,0
42,11,31,38,110,3,72,+AC0-35
41,11,30,32,37,2,5,+AC0-30
41,10,31,11,78,3,67,+AC0-8
42,10,32,22,51,2,29,+AC0-20
43,11,32,15,6,2,+AC0-9,+AC0-13
42,11,31,30,106,6,76,+AC0-24
44,8,36,28,91,3,63,+AC0-25
42,11,31,9,33,2,24,+AC0-7
41,10,31,39,130,4,91,+AC0-35
41,10,31,36,120,3,84,+AC0-33
41,11,30,7,27,2,20,+AC0-5
41,10,31,15,50,3,35,+AC0-12
42,11,31,30,99,3,69,+AC0-27
41,11,30,10,37,2,27,+AC0-8
41,10,31,23,78,3,55,+AC0-20
41,10,31,33,111,3,78,+AC0-30
41,11,30,26,87,3,61,+AC0-23
41,10,31,15,10,1,+AC0-5,+AC0-14
41,10,31,2,52,3,50,1
41,11,30,12,44,2,32,+AC0-10
41,10,31,26,81,3,55,+AC0-23
43,10,33,8,29,2,21,+AC0-6
42,11,31,40,134,4,94,+AC0-36
41,10,31,36,120,3,84,+AC0-33
41,11,30,18,9,2,+AC0-9,+AC0-16
41,11,30,14,62,3,48,+AC0-11
41,10,31,1,47,2,46,1
41,10,31,8,24,2,16,+AC0-6
40,11,29,17,59,3,42,+AC0-14
41,11,30,35,117,3,82,+AC0-32
41,10,31,10,35,3,25,+AC0-7
41,11,30,28,94,3,66,+AC0-25
41,10,31,25,85,3,60,+AC0-22
40,10,30,6,135,4,129,+AC0-2
40,11,29,40,67,3,27,+AC0-37
41,10,31,19,100,4,81,+AC0-15
41,10,31,31,124,4,93,+AC0-27
41,11,30,39,107,3,68,+AC0-36
41,11,30,34,51,2,17,+AC0-32
40,10,30,15,25,2,10,+AC0-13
40,11,29,9,89,3,80,+AC0-6
40,10,30,26,25,2,+AC0-1,+AC0-24
40,10,30,13,5,2,+AC0-8,+AC0-11
40,11,29,2,44,2,42,0
40,10,30,24,74,2,50,+AC0-22
42,10,32,37,35,3,+AC0-2,+AC0-34
40,11,29,11,122,3,111,+AC0-8
40,10,30,8,103,3,95,+AC0-5
40,10,30,30,26,2,+AC0-4,+AC0-28
40,11,29,38,46,2,8,+AC0-36
40,11,29,14,130,3,116,+AC0-11
39,10,29,25,86,3,61,+AC0-22
39,11,28,29,96,3,67,+AC0-26
40,11,29,4,30,2,26,+AC0-2
39,10,29,9,3,2,+AC0-6,+AC0-7
39,11,28,1,14,2,13,1
40,11,29,35,118,3,83,+AC0-32
40,10,30,16,54,3,38,+AC0-13
40,11,29,33,36,2,3,+AC0-31
39,11,28,22,111,3,89,+AC0-19
39,10,29,28,75,3,47,+AC0-25
40,8,32,30,91,3,61,+AC0-27
39,9,30,11,101,3,90,+AC0-8
39,11,28,24,84,3,60,+AC0-21
40,11,29,37,129,3,92,+AC0-34
40,10,30,9,6,2,+AC0-3,+AC0-7
40,11,29,3,44,2,41,+AC0-1
39,10,29,13,39,3,26,+AC0-10
39,10,29,14,73,3,59,+AC0-11
39,11,28,22,54,3,32,+AC0-19
39,10,29,24,80,4,56,+AC0-20
39,10,29,32,104,3,72,+AC0-29
39,9,30,33,26,2,+AC0-7,+AC0-31
40,10,30,28,115,3,87,+AC0-25
39,10,29,8,92,3,84,+AC0-5
39,11,28,14,40,2,26,+AC0-12
39,11,28,21,72,2,51,+AC0-19
39,10,29,7,23,2,16,+AC0-5
39,10,29,26,88,3,62,+AC0-23
39,11,28,18,61,2,43,+AC0-16
39,10,29,32,109,4,77,+AC0-28
39,10,29,1,41,2,40,1
39,11,28,37,28,2,+AC0-9,+AC0-35
39,11,28,15,95,3,80,+AC0-12
38,10,28,9,71,3,62,+AC0-6
39,10,29,29,25,2,+AC0-4,+AC0-27
41,10,31,22,35,3,13,+AC0-19
40,10,30,12,122,4,110,+AC0-8
39,11,28,6,8,2,2,+AC0-4
40,10,30,25,52,2,27,+AC0-23
42,10,32,12,83,3,71,+AC0-9
43,11,32,26,123,6,97,+AC0-20
42,9,33,37,88,3,51,+AC0-34
43,10,33,22,74,3,52,+AC0-19
41,10,31,15,52,2,37,+AC0-13
44,11,33,3,114,3,111,0
40,10,30,35,81,3,46,+AC0-32
40,11,29,24,20,2,+AC0-4,+AC0-22
43,10,33,32,100,4,68,+AC0-28
45,10,35,15,44,3,29,+AC0-12
39,11,28,9,73,3,64,+AC0-6
40,11,29,23,7,1,+AC0-16,+AC0-22
40,10,30,11,92,3,81,+AC0-8
39,11,28,27,38,2,11,+AC0-25
40,10,30,1,97,3,96,2
39,10,29,39,45,3,6,+AC0-36
39,11,28,31,11,2,+AC0-20,+AC0-29
39,10,29,18,60,2,42,+AC0-16
40,10,30,6,35,2,29,+AC0-4
39,11,28,9,126,3,117,+AC0-6
39,10,29,19,64,3,45,+AC0-16
39,10,29,25,82,3,57,+AC0-22
40,10,30,13,25,2,12,+AC0-11
39,11,28,34,111,3,77,+AC0-31
39,10,29,27,86,4,59,+AC0-23
39,11,28,37,121,4,84,+AC0-33
39,10,29,2,32,2,30,0
39,10,29,11,100,3,89,+AC0-8
39,11,28,31,76,3,45,+AC0-28
39,11,28,22,49,2,27,+AC0-20
44,10,34,9,9,2,0,+AC0-7
39,11,28,16,31,2,15,+AC0-14
39,11,28,29,91,3,62,+AC0-26
42,10,32,6,48,3,42,+AC0-3
39,11,28,12,114,4,102,+AC0-8
39,11,28,35,70,2,35,+AC0-33
40,10,30,22,87,4,65,+AC0-18
39,10,29,26,38,2,12,+AC0-24
39,11,28,30,96,3,66,+AC0-27
39,10,29,18,11,2,+AC0-7,+AC0-16
38,10,28,32,60,3,28,+AC0-29
39,11,28,9,104,3,95,+AC0-6
44,10,34,37,28,2,+AC0-9,+AC0-35
39,11,28,2,23,2,21,0
39,11,28,10,40,2,30,+AC0-8
39,10,29,34,108,4,74,+AC0-30
43,10,33,16,121,6,105,+AC0-10
39,9,30,37,3,1,+AC0-34,+AC0-36
39,11,28,30,100,3,70,+AC0-27
39,11,28,24,77,3,53,+AC0-21
38,11,27,4,124,3,120,+AC0-1
38,10,28,27,91,3,64,+AC0-24
38,10,28,20,67,3,47,+AC0-17
39,11,28,11,52,2,41,+AC0-9
38,10,28,17,41,3,24,+AC0-14
38,10,28,10,39,2,29,+AC0-8
38,11,27,27,88,3,61,+AC0-24
38,10,28,26,84,2,58,+AC0-24
38,10,28,9,102,3,93,+AC0-6
38,11,27,31,73,3,42,+AC0-28
38,10,28,21,95,3,74,+AC0-18
39,10,29,29,37,2,8,+AC0-27
38,9,29,1,58,3,57,2
37,11,26,24,118,3,94,+AC0-21
38,10,28,9,78,4,69,+AC0-5
38,11,27,36,28,2,+AC0-8,+AC0-34
38,10,28,7,12,1,5,+AC0-6
38,10,28,11,38,2,27,+AC0-9
38,11,27,35,108,3,73,+AC0-32
37,11,26,20,22,2,2,+AC0-18
39,10,29,34,95,3,61,+AC0-31
37,11,26,15,64,3,49,+AC0-12
38,8,30,29,47,2,18,+AC0-27
37,9,28,4,114,4,110,0
43,11,32,9,26,2,17,+AC0-7
41,10,31,26,86,3,60,+AC0-23
38,10,28,24,5,2,+AC0-19,+AC0-22
37,11,26,34,117,4,83,+AC0-30
37,10,27,12,78,2,66,+AC0-10
38,10,28,7,111,4,104,+AC0-3
37,10,27,23,51,2,28,+AC0-21
37,11,26,10,73,3,63,+AC0-7
37,10,27,3,33,2,30,+AC0-1
37,11,26,27,9,2,+AC0-18,+AC0-25
37,11,26,16,43,2,27,+AC0-14
38,11,27,13,88,3,75,+AC0-10
36,11,25,33,65,3,32,+AC0-30
37,11,26,10,79,3,69,+AC0-7
37,10,27,36,28,2,+AC0-8,+AC0-34
37,10,27,19,108,3,89,+AC0-16
36,10,26,24,24,2,0,+AC0-22
37,10,27,1,39,3,38,2
36,10,26,14,71,3,57,+AC0-11
37,11,26,6,116,4,110,+AC0-2
37,10,27,36,55,3,19,+AC0-33
37,11,26,22,44,2,22,+AC0-20
37,11,26,26,85,3,59,+AC0-23
37,11,26,31,6,2,+AC0-25,+AC0-29
36,11,25,16,101,4,85,+AC0-12
37,10,27,10,115,4,105,+AC0-6
37,10,27,29,86,4,57,+AC0-25
37,10,27,35,39,2,4,+AC0-33
36,11,25,26,66,2,40,+AC0-24
37,10,27,19,31,2,12,+AC0-17
36,11,25,32,96,3,64,+AC0-29
37,11,26,11,77,3,66,+AC0-8
37,10,27,7,60,3,53,+AC0-4
36,11,25,24,11,2,+AC0-13,+AC0-22
36,11,25,12,25,2,13,+AC0-10
38,10,28,2,91,3,89,1
37,10,27,28,84,3,56,+AC0-25
37,10,27,21,23,3,2,+AC0-18
37,9,28,7,38,2,31,+AC0-5
40,9,31,26,109,3,83,+AC0-23
36,11,25,18,72,3,54,+AC0-15
37,10,27,25,101,4,76,+AC0-21
36,7,29,12,46,2,34,+AC0-10
37,11,26,30,79,3,49,+AC0-27
36,10,26,10,108,4,98,+AC0-6
36,10,26,25,39,2,14,+AC0-23
36,10,26,13,84,3,71,+AC0-10
39,10,29,33,47,3,14,+AC0-30
35,10,25,35,68,3,33,+AC0-32
36,11,25,20,94,3,74,+AC0-17
36,10,26,14,48,3,34,+AC0-11
39,10,29,26,26,2,0,+AC0-24
36,11,25,1,12,2,11,1
35,11,24,19,87,3,68,+AC0-16
36,10,26,10,61,3,51,+AC0-7
36,10,26,29,111,3,82,+AC0-26
36,10,26,15,110,4,95,+AC0-11
35,10,25,26,33,2,7,+AC0-24
42,11,31,8,46,2,38,+AC0-6
35,11,24,33,99,3,66,+AC0-30
35,10,25,21,81,3,60,+AC0-18
35,11,24,10,65,3,55,+AC0-7
35,10,25,23,31,2,8,+AC0-21
35,10,25,31,6,2,+AC0-25,+AC0-29
35,11,24,2,111,3,109,1
36,10,26,10,100,3,90,+AC0-7
35,10,25,34,26,2,+AC0-8,+AC0-32
37,10,27,32,86,3,54,+AC0-29
35,10,25,16,65,3,49,+AC0-13
35,10,25,19,13,2,+AC0-6,+AC0-17
35,10,25,6,39,2,33,+AC0-4
35,11,24,31,73,3,42,+AC0-28
39,10,29,11,35,2,24,+AC0-9
35,11,24,22,91,3,69,+AC0-19
35,11,24,4,105,3,101,+AC0-1
34,10,24,22,75,3,53,+AC0-19
36,10,26,25,42,3,17,+AC0-22
35,10,25,33,49,2,16,+AC0-31
34,10,24,10,8,2,+AC0-2,+AC0-8
35,11,24,17,95,3,78,+AC0-14
35,10,25,2,66,2,64,0
35,10,25,30,34,3,4,+AC0-27
34,10,24,7,84,3,77,+AC0-4
35,11,24,23,25,2,2,+AC0-21
35,10,25,20,88,3,68,+AC0-17
42,10,32,32,67,3,35,+AC0-29
35,11,24,26,79,3,53,+AC0-23
34,10,24,13,111,4,98,+AC0-9
35,10,25,9,32,2,23,+AC0-7
34,11,23,22,71,3,49,+AC0-19
35,10,25,18,55,3,37,+AC0-15
34,10,24,25,62,3,37,+AC0-22
35,11,24,19,6,1,+AC0-13,+AC0-18
35,10,25,32,41,3,9,+AC0-29
34,10,24,28,106,3,78,+AC0-25
34,11,23,12,21,2,9,+AC0-10
34,10,24,23,46,3,23,+AC0-20
34,10,24,16,99,3,83,+AC0-13
34,11,23,27,86,3,59,+AC0-24
34,10,24,9,65,3,56,+AC0-6
34,10,24,1,52,3,51,2
34,10,24,31,79,3,48,+AC0-28
34,10,24,21,32,2,11,+AC0-19
37,9,28,13,40,2,27,+AC0-11
34,8,26,7,97,3,90,+AC0-4
34,6,28,33,67,2,34,+AC0-31
39,9,30,14,84,3,70,+AC0-11
34,9,25,19,28,2,9,+AC0-17
34,9,25,3,70,3,67,0
34,9,25,7,89,3,82,+AC0-4
35,9,26,28,33,2,5,+AC0-26
34,9,25,25,108,3,83,+AC0-22
34,9,25,23,55,3,32,+AC0-20
33,10,23,11,11,2,0,+AC0-9
40,9,31,18,23,2,5,+AC0-16
35,10,25,22,104,4,82,+AC0-18
33,10,23,15,76,2,61,+AC0-13
34,9,25,10,46,3,36,+AC0-7
34,9,25,31,81,3,50,+AC0-28
33,9,24,22,15,2,+AC0-7,+AC0-20
33,10,23,5,40,2,35,+AC0-3
33,9,24,9,63,3,54,+AC0-6
34,10,24,24,68,2,44,+AC0-22
33,9,24,8,60,3,52,+AC0-5
33,9,24,17,87,3,70,+AC0-14
34,10,24,31,35,2,4,+AC0-29
33,9,24,10,100,3,90,+AC0-7
34,9,25,26,5,2,+AC0-21,+AC0-24
33,10,23,21,78,4,57,+AC0-17
33,9,24,1,19,2,18,1
34,9,25,16,96,3,80,+AC0-13
33,10,23,29,60,2,31,+AC0-27
37,9,28,7,31,2,24,+AC0-5
33,9,24,3,105,3,102,0
33,10,23,25,82,3,57,+AC0-22
33,9,24,18,5,2,+AC0-13,+AC0-16
35,9,26,33,22,2,+AC0-11,+AC0-31
33,9,24,6,53,4,47,+AC0-2
33,9,24,23,73,3,50,+AC0-20
33,9,24,32,86,3,54,+AC0-29
33,9,24,30,64,2,34,+AC0-28
40,8,32,19,31,3,12,+AC0-16
33,10,23,25,78,3,53,+AC0-22
34,10,24,13,43,2,30,+AC0-11
32,9,23,11,99,3,88,+AC0-8
33,9,24,21,92,3,71,+AC0-18
33,9,24,1,72,3,71,2
33,9,24,7,34,3,27,+AC0-4
33,9,24,27,20,2,+AC0-7,+AC0-25
33,9,24,24,101,3,77,+AC0-21
39,9,30,18,58,3,40,+AC0-15
33,9,24,7,6,2,+AC0-1,+AC0-5
33,9,24,31,67,3,36,+AC0-28
33,9,24,16,83,3,67,+AC0-13
32,10,22,12,43,2,31,+AC0-10
32,9,23,24,30,2,6,+AC0-22
32,8,24,28,53,2,25,+AC0-26
33,9,24,24,76,3,52,+AC0-21
37,9,28,31,4,3,+AC0-27,+AC0-28
32,7,25,20,90,5,70,+AC0-15
32,8,24,11,69,3,58,+AC0-8
32,9,23,7,29,2,22,+AC0-5
33,9,24,2,101,3,99,1
33,9,24,19,67,3,48,+AC0-16
32,9,23,14,59,2,45,+AC0-12
33,9,24,23,33,2,10,+AC0-21
32,9,23,1,99,3,98,2
32,9,23,21,39,3,18,+AC0-18
32,9,23,29,61,3,32,+AC0-26
32,10,22,25,82,3,57,+AC0-22
32,9,23,9,12,2,3,+AC0-7
32,9,23,17,95,3,78,+AC0-14
32,9,23,14,30,2,16,+AC0-12
32,9,23,11,78,3,67,+AC0-8
32,9,23,30,60,2,30,+AC0-28
32,9,23,20,100,4,80,+AC0-16
32,9,23,18,36,2,18,+AC0-16
31,9,22,3,51,2,48,+AC0-1
34,9,25,6,73,3,67,+AC0-3
32,9,23,23,7,2,+AC0-16,+AC0-21
34,9,25,28,43,2,15,+AC0-26
32,9,23,30,21,2,+AC0-9,+AC0-28
32,9,23,9,63,3,54,+AC0-6
31,9,22,31,82,3,51,+AC0-28
32,9,23,22,36,2,14,+AC0-20
32,9,23,11,102,3,91,+AC0-8
31,9,22,14,90,3,76,+AC0-11
32,9,23,17,73,3,56,+AC0-14
31,10,21,24,68,3,44,+AC0-21
32,9,23,20,33,2,13,+AC0-18
31,9,22,9,44,3,35,+AC0-6
32,9,23,4,91,3,87,+AC0-1
32,8,24,9,56,2,47,+AC0-7
31,9,22,13,15,2,2,+AC0-11
31,9,22,17,82,3,65,+AC0-14
31,10,21,26,29,2,3,+AC0-24
31,9,22,23,4,2,+AC0-19,+AC0-21
30,9,21,30,58,3,28,+AC0-27
31,9,22,29,75,2,46,+AC0-27
31,9,22,21,94,3,73,+AC0-18
31,9,22,6,38,2,32,+AC0-4
31,9,22,1,70,3,69,2
31,9,22,18,51,3,33,+AC0-15
30,9,21,9,85,3,76,+AC0-6
31,9,22,23,78,3,55,+AC0-20
33,9,24,15,33,3,18,+AC0-12
30,9,21,28,98,3,70,+AC0-25
